,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
68,48027,2018,890.3985815602837,1410.0,293366200.0,95781500.0,663.2354609929077,1410
69,48027,2019,932.5349544072948,1316.0,274440200.0,90361200.0,703.9240121580547,1316
70,48027,2020,1025.0991412958626,1281.0,272054400.0,87724900.0,770.0288836846214,1281
71,48027,2021,1089.9079365079365,315.0,72194200.0,23810700.0,813.3809523809524,315
72,48029,2018,825.5912657795974,9050.0,1802730000.0,640305600.0,621.2996701921984,8793
73,48029,2019,875.6182182683874,8210.0,1681672100.0,596660300.0,666.8169402330535,7981
74,48029,2020,945.0098917257051,7693.0,1595583800.0,566690700.0,715.1225771955621,7481
75,48029,2021,1065.6959544879899,1728.0,326492900.0,115380600.0,801.9987357774968,1582
76,48031,2018,706.3937007874016,127.0,24592400.0,8474800.0,491.9527559055118,127
77,48031,2019,728.6888888888889,135.0,26055400.0,9226800.0,515.1703703703704,135
78,48031,2020,786.1666666666666,144.0,28313600.0,10006700.0,548.5486111111111,144
79,48031,2021,850.5,24.0,4254500.0,1688700.0,587.125,24
80,48035,2018,1156.732142857143,56.0,8034700.0,2094700.0,899.1607142857143,56
81,48035,2019,1389.2448979591836,49.0,7574900.0,1996400.0,1106.1632653061224,49
82,48035,2020,1406.1162790697674,43.0,6757400.0,1866400.0,1087.046511627907,43
83,48035,2021,2093.0,12.0,1530800.0,741300.0,1651.9166666666667,12
84,48037,2018,1070.0689655172414,348.0,63790100.0,16855800.0,802.221264367816,348
85,48037,2019,1169.498452012384,323.0,58480100.0,15152200.0,892.8699690402477,323
86,48037,2020,1196.8065693430658,274.0,48115900.0,13740900.0,908.0656934306569,274
87,48037,2021,1313.6179775280898,89.0,15953300.0,4228500.0,1007.5393258426966,89
88,48039,2018,727.7596241359802,40665.0,8508315600.0,3219241000.0,562.3048483506752,40653
89,48039,2019,761.008058058058,39975.0,8575582300.0,3255107800.0,591.4370870870871,39960
90,48039,2020,795.746618554301,42985.0,9437262100.0,3600763400.0,605.5035967873356,42955
91,48039,2021,867.6517879469867,8001.0,1759211900.0,651336500.0,657.8909727431858,7998
92,48041,2018,730.7446428571428,1692.0,361145100.0,129061000.0,533.202380952381,1680
93,48041,2019,756.0253894979804,1738.0,383474300.0,133994700.0,557.5591459896134,1733
94,48041,2020,800.1244837758112,1705.0,377479500.0,134123200.0,586.0902654867257,1695
95,48041,2021,836.8408408408409,333.0,76135200.0,26534100.0,606.3753753753754,333
96,48043,2018,1420.730909090909,275.0,51144400.0,6025700.0,1098.0181818181818,275
97,48043,2019,1530.4268774703557,253.0,49494200.0,5712600.0,1203.4545454545455,253
98,48043,2020,1445.3157894736842,247.0,48916600.0,5163700.0,1114.1093117408907,247
99,48043,2021,1444.0845070422536,71.0,13756400.0,2359100.0,1111.5774647887324,71
100,48047,2018,1258.7362637362637,182.0,24091300.0,3773900.0,931.054945054945,182
101,48047,2019,1324.3401360544217,147.0,19854800.0,3904600.0,1011.8299319727892,147
102,48047,2020,1406.2978723404256,141.0,19800700.0,4116000.0,1062.049645390071,141
103,48047,2021,1477.2333333333333,30.0,4655600.0,1359700.0,1069.6666666666667,30
104,48049,2018,990.0311475409836,610.0,115531800.0,38383300.0,732.9360655737705,610
105,48049,2019,1039.177033492823,627.0,121693300.0,41418600.0,772.8580542264752,627
106,48049,2020,1134.9808362369338,574.0,114664000.0,37255500.0,839.9024390243902,574
107,48049,2021,1617.5700934579438,107.0,23922400.0,7645600.0,1253.1121495327102,107
108,48051,2018,1148.304,125.0,22211800.0,6033900.0,878.632,125
109,48051,2019,1303.0082644628098,121.0,23146900.0,6516100.0,1003.9421487603306,121
110,48051,2020,1363.768,125.0,23191100.0,6731600.0,1014.792,125
111,48051,2021,1252.0,26.0,4206700.0,1412600.0,935.5,26
112,48053,2018,1073.1293680297397,1345.0,285445200.0,72716000.0,788.160594795539,1345
113,48053,2019,1165.8749126484975,1431.0,310420600.0,79628000.0,869.637062937063,1431
114,48053,2020,1279.4306722689075,1428.0,317696500.0,82998100.0,948.1617647058823,1428
115,48053,2021,1382.9171779141104,326.0,70975200.0,16820200.0,1025.239263803681,326
116,48055,2018,839.3543859649122,285.0,48199300.0,15749700.0,628.280701754386,285
117,48055,2019,845.0627306273062,271.0,46957300.0,15006800.0,633.1217712177122,271
118,48055,2020,903.4139194139194,273.0,49170000.0,15539700.0,673.3003663003662,273
119,48055,2021,833.3666666666667,60.0,11006400.0,3388500.0,616.8666666666667,60
120,48057,2018,1038.4846214511042,2576.0,506918000.0,188216900.0,742.0902996845426,2536
121,48057,2019,1029.9795918367347,2492.0,499591100.0,186617700.0,734.121224489796,2450
122,48057,2020,1055.1823974512147,2581.0,519826700.0,193120300.0,739.1306252489048,2511
123,48057,2021,1078.8355555555556,450.0,89780200.0,30535600.0,753.1466666666666,450
124,48059,2018,471.0,7.0,1135000.0,450000.0,335.14285714285717,7
125,48059,2019,486.0,8.0,1285000.0,510000.0,352.125,8
126,48059,2020,501.9,10.0,1460000.0,570000.0,362.0,10
127,48061,2018,921.052750410509,20713.0,3751268700.0,1019921600.0,650.7224958949097,14616
128,48061,2019,890.4992392670504,21099.0,3832683400.0,1067239100.0,636.5408480518621,15117
129,48061,2020,925.7392135108481,22536.0,4147130300.0,1163985600.0,654.9285626232742,16224
130,48061,2021,1187.9841085271319,4069.0,791916800.0,184224600.0,835.2728682170542,2580
131,48063,2018,1925.0,4.0,957900.0,160000.0,1472.75,4
132,48063,2019,2410.6666666666665,3.0,757900.0,80000.0,1907.6666666666667,3
133,48063,2020,2960.0,3.0,757900.0,80000.0,2325.0,3
134,48063,2021,572.0,1.0,250000.0,100000.0,442.0,1
135,48065,2018,1721.4444444444443,9.0,964700.0,125000.0,1390.6666666666667,9
136,48065,2019,1629.142857142857,7.0,885100.0,185000.0,1329.7142857142858,7
137,48065,2020,1705.2,5.0,661300.0,125000.0,1390.8,5
138,48065,2021,1007.5,4.0,507300.0,105000.0,795.5,4
